,stance1_successrate,stance2_successrate,stance3_successrate,stance4_successrate,stance5_successrate,stance6_successrate,stance7_successrate,stance8_successrate,stance9_successrate,stance10_successrate,stance11_successrate,stance12_successrate,stance13_successrate,stance14_successrate,stance1_steps,stance2_steps,stance3_steps,stance4_steps,stance5_steps,stance6_steps,stance7_steps,stance8_steps,stance9_steps,stance10_steps,stance11_steps,stance12_steps,stance13_steps,stance14_steps,stance1_rewards,stance2_rewards,stance3_rewards,stance4_rewards,stance5_rewards,stance6_rewards,stance7_rewards,stance8_rewards,stance9_rewards,stance10_rewards,stance11_rewards,stance12_rewards,stance13_rewards,stance14_rewards
913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.55185634841891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
914,1,1,1,1,1,1,1,1,1,1,0,0,0,0,83,177,60,112,57,107,61,114,525,203,0,0,0,0,-24.994523541472446,-85.36053729196576,-34.623434969436246,-64.12891632565217,-31.57556355964334,-70.7660141164029,-36.81864074252246,-61.6562759509232,-449.1525331019627,-91.21718375295424,0.0,0.0,0.0,0.0
915,1,1,1,1,1,1,1,0,0,0,0,0,0,0,55,268,40,149,222,114,72,0,0,0,0,0,0,0,-22.922472037360038,-84.89238481286694,-23.690473782773203,-72.3122294138773,-103.73418146470958,-45.68528994587157,-53.458617409081654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916,1,1,1,1,1,1,1,1,1,0,0,0,0,0,55,448,40,125,190,117,285,145,222,0,0,0,0,0,-21.705303265728556,-124.28535253281312,-20.981428219386213,-58.46894108900634,-90.16858643018173,-59.49698604230838,-174.36368708977955,-76.77179381567643,-147.79334145933808,0.0,0.0,0.0,0.0,0.0
917,1,1,1,1,1,1,1,1,1,1,1,1,1,1,52,239,58,92,40,192,331,69,294,269,206,77,139,311,-21.44300383620283,-97.9450325701608,-32.66025545773432,-51.754353146467594,-22.118285325785514,-90.3095310378849,-196.18304054703307,-44.96077786651629,-165.76002728245956,-123.70062740285982,-102.58849671375171,-53.01537968780645,-90.0913607690929,-198.05140872358976
918,1,1,1,1,1,1,1,1,1,1,0,0,0,0,52,210,40,92,159,57,201,67,264,218,0,0,0,0,-21.379872969698578,-92.301271484872,-23.050279690844665,-52.649555414589805,-78.75152058789762,-33.235916483655345,-113.00214247293431,-41.59081061990521,-156.42230441850725,-104.40049655914197,0.0,0.0,0.0,0.0
919,1,1,0,0,0,0,0,0,0,0,0,0,0,0,62,396,0,0,0,0,0,0,0,0,0,0,0,0,-24.679989476637143,-117.31414731588487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920,1,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,-23.078106994725882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
921,1,1,1,1,0,0,0,0,0,0,0,0,0,0,58,147,54,101,0,0,0,0,0,0,0,0,0,0,-21.964498164329992,-58.728171164944676,-29.993863042510664,-48.527387880585906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
922,1,1,1,1,1,1,1,1,1,1,1,1,0,0,60,413,40,112,50,108,54,78,174,297,439,182,0,0,-23.56557797326082,-123.26382647355065,-22.294522283704925,-55.52978104067795,-25.91317124415002,-72.80038185973574,-34.84234970976509,-37.93173426807184,-95.14566093561493,-146.24806380917315,-185.7096185446393,-81.97488819699407,0.0,0.0
