,stance1_successrate,stance2_successrate,stance3_successrate,stance1_steps,stance2_steps,stance3_steps,stance1_rewards,stance2_rewards,stance3_rewards
9660,1,1,0,52,23,201,-25.610670496393578,-6.050024644651635,-42.18628372989046
9661,1,0,0,48,201,0,-22.08321004512808,-263.7583593157355,0.0
9662,1,1,1,48,37,93,-23.042737411281195,-10.175096276046046,-19.565489079377212
9663,1,1,1,55,26,133,-27.342872716621336,-7.285638486753177,-27.2545424069923
9664,1,1,1,47,36,73,-21.751219783763602,-9.629371269637135,-13.620292859441655
9665,1,1,1,51,25,167,-23.60751749274072,-7.039374655805897,-33.93949145442818
9666,1,0,0,55,201,0,-25.60010915637495,-298.1634729936114,0.0
9667,1,1,1,53,23,130,-23.981751472760774,-6.257792260289132,-29.826869479960433
9668,1,1,0,47,25,201,-20.204044235042762,-6.231829032158605,-38.08631486779421
9669,1,0,0,51,201,0,-24.98087796741661,-166.60149167828882,0.0
9670,1,1,0,54,22,201,-22.802045426300765,-5.663223315150707,-47.306199393779536
9671,1,1,0,56,25,201,-25.924367200648238,-6.234017355486781,-37.86927862801076
9672,0,0,0,201,0,0,-42.36776637430981,0.0,0.0
9673,1,0,0,58,201,0,-26.119934951295516,-110.51838265917083,0.0
9674,1,0,0,52,201,0,-23.344339933161223,-115.57877628969415,0.0
9675,1,0,0,52,201,0,-22.264567420044987,-116.51301409622819,0.0
9676,1,0,0,46,201,0,-21.062126076707084,-258.03491922717365,0.0
9677,1,1,0,50,28,201,-23.79441383707189,-6.8472600889718835,-137.57729820343894
9678,1,1,0,55,45,201,-20.235927269892674,-14.739364056622088,-39.0350252353606
9679,1,1,1,46,53,114,-23.525497387402435,-19.741883148953082,-22.483737147941522
9680,1,0,0,52,201,0,-24.411978686057523,-208.6303715000649,0.0
9681,1,1,0,49,21,201,-22.747045120349576,-5.841528173625065,-35.96027649166729
9682,1,0,0,60,201,0,-28.007583974600035,-161.35631652844708,0.0
9683,1,0,0,52,201,0,-25.145329980824652,-124.86640507370257,0.0
9684,1,0,0,53,201,0,-25.46625890273667,-161.5747047491067,0.0
9685,1,1,1,65,75,120,-26.040400079952413,-26.52267303995333,-23.76416318302345
9686,1,1,0,54,20,201,-24.606504338446303,-5.464628597499423,-41.4813315543021
9687,1,1,1,48,22,133,-24.1838715700677,-6.462022204357777,-29.97449833458792
9688,1,1,1,52,49,119,-23.39980729021874,-15.668520133805199,-26.030839580267653
9689,1,1,1,54,27,86,-24.96534812757425,-6.485251255214513,-19.16735187234725
9690,0,0,0,201,0,0,-52.25871590123735,0.0,0.0
9691,1,1,1,53,45,95,-22.69532217549208,-13.078661798500592,-20.18107573966052
9692,1,1,1,48,24,67,-24.239984835549684,-6.094001279440138,-12.301404622889104
9693,1,0,0,53,201,0,-21.182867621155843,-131.75693500534388,0.0
9694,1,0,0,50,201,0,-23.246292175708597,-151.32258878103553,0.0
9695,1,1,1,52,50,91,-21.33328139883314,-18.232338465696447,-18.184494690577434
9696,1,1,1,53,40,99,-24.408440216605317,-11.754732457779946,-23.753276060393844
9697,1,1,1,50,23,105,-23.317787549139812,-6.0220488654145035,-35.13804210897756
9698,1,0,0,52,201,0,-22.233814280083653,-119.57323317407096,0.0
9699,1,1,0,79,31,201,-25.72213059567044,-8.790368898047676,-55.71450224761311
